epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,104.295,1.03419,1.17228,0.70507,1.1014,0.99445,1,0.995,0.74386,0.95466,0.90909,0.98115,0.66914,0.91931,2.44567,0.61438,1.08795,0.001604,0.001604,0.001604
42,107.042,1.00057,1.06238,0.6585,1.03184,0.99424,1,0.995,0.81626,0.99424,1,0.995,0.6595,0.80631,2.68108,0.62415,1.0263,0.0015941,0.0015941,0.0015941
43,109.176,0.97607,1.29019,0.65614,1.01693,0.9941,1,0.995,0.85628,0.9941,1,0.995,0.65182,0.7211,2.19154,0.58608,0.99789,0.0015842,0.0015842,0.0015842
44,111.122,0.92961,1.0762,0.62291,1.01006,0.99378,1,0.995,0.8267,0.99378,1,0.995,0.70061,0.69941,1.65504,0.55777,0.99643,0.0015743,0.0015743,0.0015743
45,113.08,0.96504,1.18641,0.65867,1.00274,0.99222,1,0.995,0.82747,0.99222,1,0.995,0.71411,0.69296,1.22857,0.61437,0.9808,0.0015644,0.0015644,0.0015644
46,115.038,0.99199,1.1471,0.64191,1.01333,0.99347,1,0.995,0.84631,0.99347,1,0.995,0.75209,0.67422,1.25179,0.59536,0.99149,0.0015545,0.0015545,0.0015545
47,117.018,1.03129,1.105,0.64975,1.00482,0.91191,1,0.9875,0.7952,0.91191,1,0.9875,0.75322,0.88461,1.43377,0.58925,1.06673,0.0015446,0.0015446,0.0015446
48,119.622,0.99701,1.0879,0.61463,1.01062,0.99197,1,0.995,0.745,0.99197,1,0.995,0.72148,0.88002,1.60636,0.8318,1.07298,0.0015347,0.0015347,0.0015347
49,121.836,1.00966,1.10514,0.68091,1.02596,0.99411,1,0.995,0.74698,0.99411,1,0.995,0.72064,0.84765,1.55286,0.75676,1.0889,0.0015248,0.0015248,0.0015248
50,124.328,0.98821,1.08259,0.65392,1.0324,0.99634,1,0.995,0.80064,0.97985,0.90909,0.9058,0.73818,0.78546,1.57922,0.54854,1.07258,0.0015149,0.0015149,0.0015149
51,127.277,1.0352,1.09583,0.66412,1.0105,0.99542,1,0.995,0.80305,0.98026,0.90909,0.90645,0.67753,0.80834,1.64389,0.61801,1.07607,0.001505,0.001505,0.001505
52,129.984,1.01358,1.11474,0.63514,0.99464,0.99273,1,0.995,0.81285,0.99273,1,0.995,0.74867,0.81454,1.58943,0.56209,1.11868,0.0014951,0.0014951,0.0014951
53,132.536,1.00644,1.09302,0.63968,0.99372,0.99464,1,0.995,0.74042,0.99464,1,0.995,0.73982,0.93805,1.58486,0.5661,1.13014,0.0014852,0.0014852,0.0014852
54,134.81,1.04834,1.15376,0.65085,1.02439,0.99439,1,0.995,0.75287,0.99439,1,0.995,0.73035,0.86146,1.55463,0.51481,1.10227,0.0014753,0.0014753,0.0014753
55,136.73,0.98228,1.02043,0.63551,1.01147,0.99318,1,0.995,0.76342,0.99318,1,0.995,0.72949,0.84893,1.57351,0.52527,1.11887,0.0014654,0.0014654,0.0014654
56,138.692,1.00544,1.04913,0.6588,0.99286,0.99337,1,0.995,0.80396,0.99337,1,0.995,0.73187,0.8835,1.70991,0.55174,1.08587,0.0014555,0.0014555,0.0014555
57,140.642,0.93153,0.95392,0.64195,0.95476,0.99198,1,0.995,0.81055,0.99198,1,0.995,0.74629,0.7645,1.70208,0.49999,1.01939,0.0014456,0.0014456,0.0014456
58,142.583,0.91266,1.02218,0.59136,0.98894,0.99232,1,0.995,0.77876,0.99232,1,0.995,0.70628,0.85336,1.51017,0.5334,1.08016,0.0014357,0.0014357,0.0014357
59,144.855,0.9964,1.11883,0.61984,1.03629,0.99249,1,0.995,0.71375,0.99249,1,0.995,0.75084,1.02437,1.50414,0.54969,1.18931,0.0014258,0.0014258,0.0014258
60,147.538,0.94758,1.02497,0.59333,0.97598,0.99457,1,0.995,0.80162,0.99457,1,0.995,0.71693,0.77534,1.89207,0.52772,1.03291,0.0014159,0.0014159,0.0014159
61,149.503,0.98276,1.15432,0.62594,0.99289,0.99255,1,0.995,0.81455,0.99255,1,0.995,0.68754,0.76545,2.17802,0.51094,1.04006,0.001406,0.001406,0.001406
62,151.513,0.98689,1.08016,0.60148,0.9981,0.99467,1,0.995,0.77527,0.99467,1,0.995,0.70351,0.78986,2.16917,0.51145,1.03591,0.0013961,0.0013961,0.0013961
63,153.445,0.89367,1.01819,0.60879,0.97175,0.99448,1,0.995,0.80386,0.99448,1,0.995,0.63221,0.72013,1.86031,0.52699,1.02752,0.0013862,0.0013862,0.0013862
64,155.368,0.90942,1.03129,0.5794,0.97915,0.99474,1,0.995,0.80193,0.99474,1,0.995,0.67494,0.81457,1.61168,0.49565,1.05585,0.0013763,0.0013763,0.0013763
65,157.367,0.88788,1.00355,0.56987,0.97684,0.99426,1,0.995,0.7967,0.99426,1,0.995,0.66226,0.79669,1.48961,0.47746,1.0454,0.0013664,0.0013664,0.0013664
66,160.212,0.85492,1.0321,0.55891,0.95903,0.99455,1,0.995,0.86018,0.99455,1,0.995,0.69151,0.72945,1.51827,0.45039,1.03986,0.0013565,0.0013565,0.0013565
67,162.307,0.95446,0.95111,0.59706,0.97895,0.99346,1,0.995,0.82153,0.99346,1,0.995,0.78087,0.73432,1.35584,0.48918,1.01931,0.0013466,0.0013466,0.0013466
68,164.277,0.89078,1.03717,0.57009,0.96309,0.99438,1,0.995,0.88319,0.99438,1,0.995,0.78434,0.64755,1.22322,0.48866,0.97012,0.0013367,0.0013367,0.0013367
69,166.238,0.89917,1.0178,0.54663,0.97394,0.99528,1,0.995,0.82798,0.99528,1,0.995,0.72165,0.74289,1.34018,0.48869,1.00579,0.0013268,0.0013268,0.0013268
70,168.198,0.89387,0.89316,0.55318,0.9612,0.99464,1,0.995,0.82041,0.99464,1,0.995,0.69928,0.74691,1.2138,0.4887,1.01036,0.0013169,0.0013169,0.0013169
71,170.198,1.00518,1.10143,0.57462,1.00416,0.99471,1,0.995,0.85998,0.99471,1,0.995,0.76762,0.68574,1.16799,0.49489,0.99118,0.001307,0.001307,0.001307
72,172.838,0.92564,0.91788,0.59682,1.00299,0.99463,1,0.995,0.84131,0.99463,1,0.995,0.71224,0.67613,1.24759,0.46892,0.99325,0.0012971,0.0012971,0.0012971
73,175.034,0.86158,0.97253,0.55954,0.98454,0.99439,1,0.995,0.8471,0.99439,1,0.995,0.72004,0.6324,1.61794,0.46799,0.96944,0.0012872,0.0012872,0.0012872
74,176.95,0.85233,0.90588,0.57053,0.9797,0.99421,1,0.995,0.84298,0.99421,1,0.995,0.70978,0.58925,2.12459,0.47503,0.96762,0.0012773,0.0012773,0.0012773
75,178.909,0.86669,0.95646,0.55101,0.96679,0.995,1,0.995,0.87363,0.995,1,0.995,0.73721,0.60901,2.25145,0.5094,0.97856,0.0012674,0.0012674,0.0012674
76,180.858,0.84418,0.9254,0.58081,0.98684,0.99507,1,0.995,0.83462,0.99507,1,0.995,0.72041,0.62929,2.2005,0.52166,0.9897,0.0012575,0.0012575,0.0012575
77,182.79,0.90998,0.99446,0.57751,0.98327,0.99487,1,0.995,0.81828,0.99487,1,0.995,0.73624,0.61694,2.05585,0.48381,0.99907,0.0012476,0.0012476,0.0012476
78,185.175,0.88903,0.97996,0.56161,0.97818,0.99473,1,0.995,0.83143,0.99473,1,0.995,0.74596,0.63692,1.85644,0.4551,1.00768,0.0012377,0.0012377,0.0012377
79,187.735,0.91746,0.99034,0.57525,1.02148,0.99449,1,0.995,0.8693,0.99449,1,0.995,0.79162,0.61815,1.71219,0.44163,0.97469,0.0012278,0.0012278,0.0012278
80,189.665,0.86671,1.02089,0.5487,1.00771,0.995,1,0.995,0.8362,0.995,1,0.995,0.73985,0.62125,1.8107,0.41971,0.95844,0.0012179,0.0012179,0.0012179
81,191.618,0.89088,0.98929,0.53649,0.97656,0.99495,1,0.995,0.85521,0.99495,1,0.995,0.74239,0.59222,1.76354,0.4194,0.95568,0.001208,0.001208,0.001208
82,193.562,0.89815,1.07045,0.55139,0.94713,0.99467,1,0.995,0.8748,0.99467,1,0.995,0.71673,0.53816,1.84112,0.41217,0.93656,0.0011981,0.0011981,0.0011981
83,195.517,0.89491,1.00002,0.58067,0.99618,0.99414,1,0.995,0.83433,0.99414,1,0.995,0.71003,0.5632,1.88397,0.4303,0.93492,0.0011882,0.0011882,0.0011882
84,197.548,0.83802,1.05408,0.55271,0.94167,0.99409,1,0.995,0.84532,0.99409,1,0.995,0.67825,0.62604,1.80967,0.44471,0.95505,0.0011783,0.0011783,0.0011783
85,200.319,0.89086,1.02131,0.54387,0.94557,0.99437,1,0.995,0.83077,0.99437,1,0.995,0.62206,0.69687,1.83774,0.46667,0.99961,0.0011684,0.0011684,0.0011684
86,202.46,0.88038,1.02521,0.5313,0.96886,0.99369,1,0.995,0.75185,0.99369,1,0.995,0.70425,0.8416,2.08006,0.50114,1.0351,0.0011585,0.0011585,0.0011585
87,204.386,0.83617,0.95252,0.5272,0.95019,0.99008,1,0.995,0.72911,0.99008,1,0.995,0.71585,0.95517,2.49127,0.56646,1.04461,0.0011486,0.0011486,0.0011486
88,206.331,0.81688,0.89197,0.51586,0.94305,0.98572,1,0.995,0.77914,0.98572,1,0.995,0.64848,0.7129,2.46776,0.52841,0.97722,0.0011387,0.0011387,0.0011387
